latitude,longitude,altitude,geometry,name,name:en,railway,ele,operator:type,layer,addr:full,addr:city,source,name:ar,osm_id,osm_type
24.0380761,32.90961,,Point,محطة الشلال,Shallal,station,,,,,,,محطة الشلال,1091247513,nodes
26.083333,32.783333,,Point,محطة الأشراف,Al Ashraf Station,station,,,,,,,محطة الأشراف,768084639,nodes
26.0539769,32.7967688,,Point,محطة أبنود,Mahattat Abnud,station,,,,,,,محطة أبنود,2723654290,nodes
24.6696422,32.9471139,,Point,نجع الكاجوج,Kagug,station,,,,,,,نجع الكاجوج,1320721139,nodes
25.1989569,32.7010849,,Point,سبية,Sebaiya,station,,,,,,,سبية,5218985313,nodes
24.583333,32.95,,Point,سلسلة,Silsila,station,,,,,,,سلسلة,768077307,nodes
31.3879611,31.7039346,,Point,التوفيقية البلد,,station,,,,,,,التوفيقية البلد,6487833444,nodes
31.355144,31.6889373,,Point,كفر سعد,,station,,,,,,,كفر سعد,1041084565,nodes
30.1309653,31.3730901,,Point,هشام بركات‎,Hesham Barakat,station,,,,,,,هشام بركات‎,9159388952,nodes
30.1121924,31.3984162,,Point,TB2 & TB3,,station,,,,,,,,7984340761,nodes
30.1438828,31.4048488,,Point,الهايكستب‎,El Haykestep,station,,,,,,,الهايكستب‎,9159388949,nodes
30.1404081,31.39448,,Point,عمر بن الخطاب‎,Omar Ebn Elkhatab,station,,,,,,,عمر بن الخطاب‎,9159388950,nodes
30.1272785,31.4032495,,Point,TB1,,station,,,,,,,,7984340772,nodes
30.1347604,31.3840616,,Point,قباء‎,Qubaa,station,,,,,,,قباء‎,9159388951,nodes
30.1164661,31.4013746,,Point,Car Park,,station,,,,,,,,7984340768,nodes
30.1469543,31.4215975,,Point,عدلى منصور,Adly Mansour,station,,,,,,,عدلى منصور,9159388948,nodes
31.1825099,31.4844554,,Point,كفر الحطبة,,station,,,,,,,كفر الحطبة,6487765599,nodes
31.2776842,31.6221078,,Point,محطة قطار جمصة,,station,,,,,,,محطة قطار جمصة,6487833442,nodes
31.3026818,31.6425199,,Point,السوالم,,station,,,,,,,السوالم,6487833443,nodes
24.3247123,32.9149535,,Point,محطة الجعافرة,Al Gaafra Station,station,,,,,,,محطة الجعافرة,2724801305,nodes
30.131317,31.1622756,,Point,,,station,,,,,,,,10570283368,nodes
30.1944856,30.9929093,,Point,,,station,,,,,,,,10570203390,nodes
30.3192905,30.8346348,,Point,,,station,,,,,,,,10568031086,nodes
29.9258484,31.2876941,,Point,طرا الأسمنت,Tora El-Asmant,station,,,,,,,طرا الأسمنت,316638605,nodes
